LOCATION,DRAWINGNUM,CONTRACTNUM,PROJECTNUM,PROJECTMGR,ORIGINATOR,TITLE,COMMENTS,DATE
34,386,140064S/116-97,NULL,Mark Schwartzbach,Rrm Design Group,Saasb Bicycle Roundabout,NULL,2013-08-12 00:00:00.000
34,387,"140221S/987810                   ",NULL,Ray Aronson,Penfield And Smith  Stantec,"Sedgwick Reserve  Road  Rehabilitation Project ",NULL,2013-10-29 00:00:00.000
34,388,140426L,NULL,Jennifer Hernandez,Phil Suding Landscape,Ucen Road Improvements,NULL,2014-03-31 00:00:00.000
34,389,140445B,NULL,Jennifer Hernandez,Suding Design,Bio Engineering Bike Path,NULL,2014-04-01 00:00:00.000
34,390," 986250",NULL,Frank Castanha,Penfield And Smith  Stantec,Storke Road Improvements Whittier Drive To South City Limit,NULL,2013-07-23 00:00:00.000
34,391,160257L,NULL,Jennifer Pierce,Penfield And Smith  Stantec,El ColegioStorke Road Improvements,NULL,2016-01-20 00:00:00.000
34,392,160017/118-94,NULL,George Levinthal,Sunpower,Campus Photovoltaic Solar Project  Lot 38 Parking,NULL,2016-01-20 00:00:00.000
34,393,NULL,NULL,Croft Yjader,Penfield And Smith  Stantec,Hssb South Sidewalk Improvements,NULL,2016-08-05 00:00:00.000
34,394,170073B/116-01,NULL,Frank Castanha,None,Bike Path Improvements  North Of Storke Tower,NULL,2016-09-08 00:00:00.000
34,395,170069B/116-19,NULL,Frank Castanha,None,Bike Path Improvemements  South Of Rob Gym,NULL,2016-09-08 00:00:00.000
34,396,170091/101-04,NULL,Liana Khammash,Pavement Engineering Inc,Mesa Road Rehabilitation Project,NULL,2016-10-12 00:00:00.000
34,397,170120B/152-20,NULL,Croft Yjader,Penfield And Smith  Stantec,Hssb Southerly Sidewalk Improvements,NULL,2016-09-23 00:00:00.000
34,398,170226L/986200,NULL,Jennifer Pierce,Penfield And Smith  Stantec,North Campus Open Space MultiModal Trail Project,NULL,2017-02-02 00:00:00.000
34,399,170312S/166-22,NULL,Ray Aronson,Pavement Engineering Inc,Parking Lot 23 And Access Road  Pavement Overlay,NULL,2017-04-14 00:00:00.000
34,400,,NULL,Jennifer Pierce,Esa,North Campus Open Space Multi Modal Trail Project Prefabricated Bridges,NULL,2017-02-10 00:00:00.000
34,401,170405B,NULL,Ray Aronson,,Parking Lot 38 Slurry And Striping,NULL,2017-06-26 00:00:00.000
34,402,110-10,NULL,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,NULL,2018-02-20 00:00:00.000
34,403,FM190379B/987955,NULL,Telli Foster,Kim True,Bren Bicycle Bike Parking,NULL,2019-04-29 00:00:00.000
34,404,TBD,NULL,Perrin Pellegrin,Stantec,Campbell Hall repavement project,NULL,2019-12-03 00:00:00.000
34,405,FM200333B/987000,NULL,Ernie Knapp,Braun and Associates,Sedgwick Reserve Road Improvement Project,NULL,2020-02-05 00:00:00.000
34,406,910562,NULL,Perrin Pellegrin,Stantec,UCEN Road and Bikeway Improvements,NULL,2020-02-27 00:00:00.000
34,407,tbd,NULL,Perrin Pellegrin,Stantec,SAASB Bike Path Improvements,NULL,2020-04-02 00:00:00.000
34,408,tbd,NULL,Perrin Pellegrin,Stantec,Building 479/Old Pool Bike path Improvements,NULL,2020-04-02 00:00:00.000
34,409,200426B/987004,NULL,Perrin Pellegrin,Arcadia Studio,UCSB Music Building Bike Parking Landscape,NULL,2020-04-03 00:00:00.000
34,410,tbd,NULL,Ernie Knapp,tbd,East and West Bike Path Improvements Project,NULL,2020-04-07 00:00:00.000
34,411,tbd,NULL,Perrin Pellegrin,RRM Designs,North Campus Open Space outdoor classroom and parking lot,NULL,2021-07-20 00:00:00.000
36,236,97044B/103-97/627858,NULL,Paul Gawronik,Katie Oreily Rogers,Isla Vista Theater Landscape,NULL,1997-08-12 00:00:00.000
36,237,NULL,NULL,Jerome Ripley,Tolosa Gardens Landscapes,Labyrinth On The Beach,NULL,2008-01-25 00:00:00.000
36,238,100082S,NULL,Deedee Ciancola,Suding Design,Santa Rosa Landscaping,NULL,2009-09-04 00:00:00.000
36,239,11034S/987773,NULL,Daniel Belding,Penfield And Smith  Stantec,Santa Ynez Landscaping,NULL,2011-02-01 00:00:00.000
36,240,110566B/293-58,NULL,Jennifer Pierce,Suding Design,Lagoon Park Landscape,NULL,2011-06-23 00:00:00.000
36,242,170217B/399-87,NULL,Leslie Colasse,Lida Grant,Sedgwick Ranch House Landscaping,NULL,2017-01-27 00:00:00.000
36,243,FM180438B,NULL,Jennifer Pierce,Kim True,Edible Campus Farm,NULL,2018-06-12 00:00:00.000
36,244,TBD,NULL,Jennifer Hernandez,Kim True,"Turf Restoration SRB-Lot 22
",NULL,2019-04-30 00:00:00.000
36,245,FM200168S,NULL,Jennifer Pierce,Kim True,NCOS North Campus Open Space Visitor's Plaza - Gathering Area,NULL,2019-10-01 00:00:00.000
36,246,FM190417,NULL,Ernie Knapp,Nineteen Six Architects,Sedgwick Reserve Outdoor Space,NULL,2019-10-02 00:00:00.000
36,247,tbd,NULL,Rai Calderon,Kim True,"Ocean Road Median southwest ",NULL,2019-12-13 00:00:00.000
36,248,tbd,NULL,Rai Calderon,Kim True,Ocean Road Median northeast,NULL,2020-01-15 00:00:00.000
36,249,tbd,NULL,Ed Schmittgen,Richard McKenzie,Ocean Road Bike Underpass-Structural Repairs,NULL,2021-05-26 00:00:00.000
37,116,170052L/986200,NULL,Jennifer Pierce,Esa,North Campus Open Space Restoration,NULL,2016-08-19 00:00:00.000
38,108,NULL,NULL,Aaron Douglas,"Garner Land Surveying ",Proposed Sidewalk Facilities Management,NULL,1994-01-13 00:00:00.000
41,144,980605,980605,Ray Aronson,Pands,Tennis Court Relocation,NULL,1996-10-01 00:00:00.000
41,145,920030L/980980,NULL,Joe Van Thyne,Barry Berkus,Ucsb Baseball Stadium Bleacher Replacement,NULL,1999-10-13 00:00:00.000
41,146,990132/264-33,NULL,Paul Gawronik,Penfield And Smith  Stantec,Resurface Track,NULL,1999-09-15 00:00:00.000
41,147,910269B/101-08,NULL,Moe Hurtado,Moe Hurtado,"Upgrade Lighting
Harder Tennis Courts  Robertson Gym
Outdoor Basketball Courts",NULL,1992-01-30 00:00:00.000
41,148,987511,NULL,Croft Yjader,Flowers And Associates,Women'S Softball Field Improvements,NULL,2000-10-26 00:00:00.000
41,149,0204605/980605,NULL,Ray Aronson,Howard And Van Sande,Tennis Court Repair,NULL,2002-04-09 00:00:00.000
41,150,0305435/980605,NULL,Ray Aronson,Howard And Van Sande,Reconstruction Of Tennis Court 6,NULL,2002-04-18 00:00:00.000
41,151,040110L/986249,NULL,Celeste Manolas,Da Hogan,Robertson Field Conversion To Artificial Turf,NULL,2003-08-29 00:00:00.000
41,153,,NULL,Steve Eggemeyer,Pleinaire Design Group,Storke Field Refurbish,NULL,2009-09-01 00:00:00.000
41,154,120270L,NULL,Croft Yjader,,Robertson Field Conversion To Artificial Turf,NULL,2011-12-01 00:00:00.000
41,155,150242/265-72,NULL,Croft Yjader,Da Hogan,Pauley Track Renovation,NULL,2015-08-13 00:00:00.000
41,156,160291L/981920,NULL,Croft Yjader,ByromDavey,Pauley Track Renovation,NULL,2017-04-24 00:00:00.000
41,157,FM170374BR/981998,NULL,James Gonzales,BFS Landscape Architects,UCSB Storke Soccer Practice Field,NULL,2017-10-02 00:00:00.000
41,158,FM180399L/981988,NULL,James Gonzales,JMPE- John Maloney,Caesar Uyesaka LED stadium lighting,NULL,2018-05-07 00:00:00.000
41,159,?FM180400B/987940,NULL,James Gonzales,tbd,Lacrosse LAX field rejuvenation,NULL,2018-05-07 00:00:00.000
41,160,FM190114L/98201,NULL,Ed Schmittgen,Byrom-Davey,Arnhold Tennis Center,NULL,2019-06-17 00:00:00.000
41,161,"FM200298B/987995 ",NULL,James Gonzalez,Unknown,"Caesar Uyesaka Stadium
Dugout Heaters-Bleacher accent lights",NULL,2020-01-13 00:00:00.000
44,104,930488L/986240,NULL,Ray Aronson,Wrt,Lagoon Landscaping  Restoration,NULL,2002-03-21 00:00:00.000
44,105,FM200116B,NULL,Ernie Knapp,Tierra,Carpinteria Salt Marsh Culvert Replacement,NULL,2019-01-25 00:00:00.000
44,106,FM200116B,NULL,George Levinthal,TBD,Carpinteria Salt Marsh Culvert Replacement,NULL,2019-08-28 00:00:00.000
57,103,987776/077-76,NULL,Telli Foster,,Wide Area Emergency Communications System,NULL,2012-03-26 00:00:00.000
58,129,990025S/100-32,NULL,Paul Gawronik,Salvador Melendez,Beach Access Stairway Rehabilitation,NULL,1999-07-13 00:00:00.000
58,130,030437S/180-45,NULL,Croft Yjader,County Of Santa Barbara,Sabado Tarde Bus Gate,NULL,2003-03-03 00:00:00.000
58,131,050405/126-85,NULL,George Levinthal,Penfield And Smith  Stantec,Green Waste Transfer Station,NULL,2005-05-05 00:00:00.000
58,132,,NULL,David Inouye,Drawings By David Inouye,University Tot Lot,NULL,2005-11-01 00:00:00.000
58,133,399-16,NULL,George Levinthal,,Campus Point Access Stairway,NULL,2010-11-05 00:00:00.000
59,104,NULL,NULL,Jerome Ripley,,"Construction Site Office  Temp Storage
This Will  Be The Repository For The Esb Project Files  For Some Number Of Months  The Plan Is To Locate The Office In A Parking Space Adjacent To The West En",NULL,2008-02-20 00:00:00.000
59,107,TBD,NULL,Ed Schmittgen,Cearnal Collective,"1021 Anacapa Street, UCSB Tenant Improvement - Leased Building",NULL,2021-01-13 00:00:00.000
60,303,100029L/986305,NULL,Erich Brown,William Hezmalhalch Architects,North Campus Faculty Housing Phase I,NULL,2009-08-05 00:00:00.000
60,305,110407L/986315,NULL,Erich Brown,William Hezmalhalch Architects,North Campus Faculty Housing Phase Ii,NULL,2011-03-28 00:00:00.000
60,306,986405,NULL,Leslie Colasse,Cearnal Andrulaitus Llc,North Campus Faculty Housing Phase 3 Homes,NULL,2015-01-30 00:00:00.000
60,307,986180,NULL,Leslie Colasse,Cearnal Andrulaitus Llc,North Campus Faculty Housing  Infrastructure,NULL,2014-05-29 00:00:00.000
60,308,160031S,NULL,Jennifer Pierce,Murray Duncan And Van Sande,Repairs To Buildings 7060 7020  7045,"I've since given these individual numbers of 7020-101, 7045-199, and 7060-199",2015-07-20 00:00:00.000
221,101," 040065LR/981330",NULL,Ilze Landfried,Sasaki Associates,Srb,NULL,2003-08-11 00:00:00.000
221,102,080280B/432-20,NULL,Jennifer Hernandez,Ronald Sorgman,"Room 2285 Office Renovation ",NULL,2007-12-01 00:00:00.000
221,103,110373S/279-10,NULL,George Levinthal,Palt Waytek Associates,Srb Child Care Center Air Conditioning Project,NULL,2011-02-23 00:00:00.000
221,104,120587B/07793,NULL,Jennifer Pierce,Kim True  True Nature,Student Resource Bldg Shade Structures,NULL,2012-08-14 00:00:00.000
221,105,160412B/078-65,NULL,Jennifer Hernandez,Kim True  True Nature,Srb Outdoor Study Space,NULL,2016-04-27 00:00:00.000
221,106,987916/079-16,NULL,George Levinthal,Pacific Acoustics,Women'S Center 2 Office Remodel,NULL,2017-07-19 00:00:00.000
221,107,987919/079-19,NULL,George Levinthal,Tom Lawton,Srb 2120 Renovation  Phase 2,NULL,2017-07-21 00:00:00.000
221,108,not used,NULL,not used,not used,not used,not used  see 221-110,2017-08-29 00:00:00.000
221,109,TBD,NULL,James Gonzales,TBD,SRB 2260 Office Build Out,NULL,2017-09-01 00:00:00.000
221,110,FM180152B/079-22,NULL,Jennifer Hernandez,Richard McKenzie,SRB 2105 Renovation,NULL,2017-11-08 00:00:00.000
221,111,987941/079-41,NULL,Ernest Knapp,Ernest Knapp,Women's Center and Disabled Student Program Renovation,NULL,2018-05-17 00:00:00.000
221,112,tbd,NULL,Ernie Knapp,Ernie Knapp,SRB OISS Room 3153 Renovation,NULL,2018-12-20 00:00:00.000
221,113,FM190455S/987970,NULL,Jennifer Hernandez,Kim True,SRB North Landscape Project,NULL,2019-06-18 00:00:00.000
221,114,TBD,NULL,Jennifer Hernandez,Pacific Acoustics,SRB EOP #2241 Office Modification,NULL,2019-11-26 00:00:00.000
221,115,"FM200520S ",NULL,Jennifer Hernandez,Brett Ettinger,SRB 1212 OBSD Renovation,NULL,2020-06-12 00:00:00.000
223,102,110-10,,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,,2018-02-20 00:00:00.000
225,103,NULL,NULL,Roger Monte,Howard And Van Sande,"Ucsb Engineering Science
Storage Tank Foundation",NULL,2001-09-07 00:00:00.000
225,104,40174B/210-73,NULL,James Gonzales,Mdc Engineers,Cleanroom Electrical Distribution,NULL,2003-07-08 00:00:00.000
225,105,040174B/210-73,NULL,James Gonzales,Mdc Engineers,"Clean Room Distribution 
Building 225 Esb",NULL,2004-02-09 00:00:00.000
225,106,040413S/109-14,NULL,James Gonzales,The Palt Co,Daugherty Lab,NULL,2004-04-20 00:00:00.000
225,107,050235S/109-28,NULL,Deedee Ciancola,Chuck Woodburn,Petroff Lab Esb Bldg 225 Room 3308,NULL,2004-10-27 00:00:00.000
225,108,050236S/109-27,NULL,Deedee Ciancola,Chuck Woodburn,Nakamura Lab Esb Bldg 225 Room 3320,NULL,2004-10-27 00:00:00.000
225,109,050238B/109-29,NULL,Deedee Ciancola,Chuck Woodburn,Rodwell Lab Esb Bldg 225 Room 2308,NULL,2004-10-29 00:00:00.000
225,110,050239S/109-31,NULL,Deedee Ciancola,Chuck Woodburn,StemmerSeshadri Lab Esb Bldg 225 Room 3312,NULL,2004-10-29 00:00:00.000
225,111,050240S/109-30,NULL,Deedee Ciancola,The Palt Company Vic Waytek And Jim Wagner,Soh Lab Esb Bldg 225 Room 2323,NULL,2004-10-29 00:00:00.000
225,112,050241B/109-25,NULL,Deedee Ciancola,Chuck Woodburn,MacdonaldTurner Lab Esb Bldg 225 Room 2327,NULL,2004-10-29 00:00:00.000
225,113,050242S/109-26,NULL,Deedee Ciancola,Mechanical Engineering Consultants,Meinhart Lab Esb Bldg 225 Room 3323,NULL,2004-10-29 00:00:00.000
225,114,050230S/109-24,NULL,James Gonzales,Chuck Woodburn,Esb Coldren Lab,NULL,2004-10-08 00:00:00.000
225,115,050229B/109-21,NULL,James Gonzales,Chuck Woodburn,Esb Blumenthal,NULL,2004-10-08 00:00:00.000
225,116,040560S/981390,NULL,James Gonzales,The Palt Co,Scott Lab Bldg 225 Room 3324  3328,NULL,2004-11-08 00:00:00.000
225,117,050266B/109-34,NULL,Deedee Ciancola,The Palt Co,Hu Lab Remodel Esb Bldg 225 Rooms 1111  1109G,NULL,2004-11-15 00:00:00.000
225,118,050296S/109-41,NULL,James Gonzales,The Palt Company Vic Waytek And Jim Wagner,YorkMishra Lab Esb  Bldg 225 Rooms 2312 2313 2309A,NULL,2004-12-03 00:00:00.000
225,119,060557S/987659,NULL,James Gonzales,P2S Engineering,EBeam Lith Environmental Room,NULL,2006-04-06 00:00:00.000
225,120,080234B/213-33,NULL,Deedee Ciancola,Mec,Lab Remodel Room 2328 Pennathur Lab,NULL,2007-10-29 00:00:00.000
225,121,100221S/210-98,NULL,Jennifer Hernandez,"Architects West Greg Rech ",Room 1111 Space Division,NULL,2010-01-28 00:00:00.000
225,122,110335S/984055,NULL,Jennifer Pierce,"Architects West Greg Rech ",Esb Leak Remediation,NULL,2011-02-10 00:00:00.000
225,123,110402S/980455,NULL,Jennifer Pierce,"Architects West Greg Rech ",Esb Column Fireproofing,NULL,2011-03-07 00:00:00.000
225,124,110403B/980455,NULL,Jennifer Pierce,"Architects West Greg Rech ",Esb Mechanical Pavilion Roof,NULL,2011-03-07 00:00:00.000
225,125,110404B/980455,NULL,Jennifer Pierce,,Esb Air Handler Replacement,NULL,2011-03-07 00:00:00.000
225,126,110560S/987761,NULL,James Gonzales,Chuck Woodburn,"Esb Exhaust Shaft ",NULL,2011-06-15 00:00:00.000
225,127,160212S/151-94,NULL,Jennifer Hernandez,Penfield And Smith  Stantec,West Courtyard Drainage,NULL,2015-12-09 00:00:00.000
225,128,FM190258B/987960,NULL,James Gonzales,James Gonzales/ EJS Construction,Engineering Sciences Lab Access,NULL,2019-01-28 00:00:00.000
226,101,130530L/981780,NULL,Frank Castanha,Kieran Timberlake,Henley Hall  Institute For Energy Efficiency,NULL,2014-06-12 00:00:00.000
226,102,FM220194B/070-42,NULL,James Gonzales,tbd,Henley MOCVD infrastructure connections,NULL,2022-01-04 00:00:00.000
235,101,010735L/980350,NULL,Mark Schwartzbach,Nbbj,Life Sciences Building,NULL,2001-06-21 00:00:00.000
235,102,090489S/987732,NULL,Mark Schwartzbach,Robert Mahterian Architects,Rm 2201 Microscopr  Cell Culture Conversion,NULL,2009-06-15 00:00:00.000
235,103,FM#190028JOC,NULL,Jennifer Pierce,Goss Engineering,Davidson Library & Life Sciences Boiler Replacement (525 & 235),NULL,2019-01-14 00:00:00.000
235,104,FM190028JOC,NULL,Jennifer Pierce,Goss Engineering,Life Science Boiler #2 Replacement.  Part of the Boneso JOC contract.,NULL,2020-01-03 00:00:00.000
243,102,NULL,NULL,Jennifer Hernandez,,Office 1211A Renovation,NULL,2017-03-14 00:00:00.000
243,103,110-10,NULL,George Levinthal,Sunpower,Campus Photovoltaic - Phase III - Sunpower,NULL,2018-02-20 00:00:00.000
243,104,FM 220033 910951 245-47,NULL,Telli Foster,Salas O'Brien (Vic Waytek)," ICA Chiller Replacement & Chilled Water Loop Connection",NULL,2022-03-31 00:00:00.000
245,101,tbd,,Ed Schmittgen,HMC Architects,Arnold Tennis Center Tennis Complex,,2020-04-06 00:00:00.000
250,102,160017/118-94,NULL,George Levinthal,Sunpower,Campus Photovoltaic Solar Project,NULL,2016-01-20 00:00:00.000
251,103,170043B/247-85,NULL,Liana Khammash,Lmanda  Architects,The Miller Lab At Psychology East Building 251,NULL,2016-08-15 00:00:00.000
251,104,987005,NULL,Perrin Pellegrin,tbd,Room 2839 Alteration,NULL,2020-05-14 00:00:00.000
251,105,987005,NULL,Perrin Pellegrin,Tenant Improvement,Conference Room to two offices.  Rms 2839 and 2837,NULL,2020-06-12 00:00:00.000
252,102,160017/118-94,NULL,George Levinthal,Sunpower,Campus Photovoltaic Solar Project,NULL,2016-01-20 00:00:00.000
254,102,120188L/986610,NULL,George Levinthal,Consultant Premier Renewables Inc,22 Parking Structure Photovoltaic Project Solar,NULL,2011-10-05 00:00:00.000
266,101,030378L/981270,NULL,Gary Banks,Altoon And Porter,Cnsi,NULL,2003-06-02 00:00:00.000
266,102,070249B/987673,NULL,James Gonzales,Jame Gonzales Ucsb,Cnsi Optic Characterization,NULL,2006-11-28 00:00:00.000
266,103,070355B/248-22,NULL,Mark Peppers,Palt,Chilled Water Pump Installation  Cnsi,NULL,2007-01-19 00:00:00.000
266,104,070550S/076-90,NULL,Deedee Ciancola,The Palt Co,Wudel Lab Fume Hood Installation Rooms 2422  2428 Cnsi Bldg 266,NULL,2007-04-26 00:00:00.000
266,105,080222B/987697,NULL,Roger Monte,Roger Monte,Room 2416 Thomson Lab,NULL,2007-10-10 00:00:00.000
266,106,080264S/987703,NULL,James Gonzales,P2S Engineering,Valentine Lab,NULL,2007-11-13 00:00:00.000
266,107,080713S/211-47,NULL,Deedee Ciancola,Mec,Cnsi Remodel Of Room 2427,NULL,2008-06-16 00:00:00.000
266,108,100098B,NULL,Deedee Ciancola,"Architects West Greg Rech ",Elins Hall 2Nd Floor East Lobby Convesion  Rm 2623,NULL,2009-09-29 00:00:00.000
266,109,100099B,NULL,Deedee Ciancola,"Architects West Greg Rech ",Elings Hall 3Rd Floor East Lobby Convesion  Rm 3623,NULL,2009-09-29 00:00:00.000
266,110,110124S,NULL,Joe Van Thyne,Rja,Cnsi Fire Alarm Modification,NULL,2010-09-15 00:00:00.000
266,112,140228B/078-31,NULL,George Levinthal,Brummel Mechanical Engineering,Ellings Hall Room 2448 Fume Hood Addition,NULL,2013-11-05 00:00:00.000
266,113,170360B/987906,NULL,James Gonzales,Salas Obrien,Fume Hood Addition Eling'S Hall Bldg 266,NULL,2017-05-24 00:00:00.000
266,114,FM170209B/987905,NULL,James Gonzales,unknown,"Alcove Conversion Renovation Plan Room 2450 Building 266 ",NULL,2017-02-13 00:00:00.000
266,115,987998 / 079-98,NULL,James Gonzales,TBD,Elings Hall Gowning Room Modification,NULL,2020-02-03 00:00:00.000
266,116,"987999 / 079-99  ",NULL,James Gonzales,TBD,Hepa Filter ceiling Modification,NULL,2020-02-03 00:00:00.000
266,117,FM200488B,NULL,James Gonzales,tbd,Clean Room High Bay Modification. Elings Hall building 266 room 3410,NULL,2020-05-18 00:00:00.000
266,118,tbd,NULL,Jennifer Hernandez,Pacific Acoustics,Elings Hall 2419 Renovation,NULL,2021-02-23 00:00:00.000
266,119,FM-------B/103-17,NULL,James Gonzales,Goss Engineering,Elings Hall Cooling Tower Renewal Building 266,NULL,2021-09-21 00:00:00.000
275,102,FM,,Jennifer Hernandez,TBD,Education Bldg 275 Office #3104 Split,,2017-09-08 00:00:00.000
275,103,FM_________B/ 987993/079-93,,James Gonzales,tbd,"Office Addition, Education bldg 275 Rm. 4201",,2019-12-10 00:00:00.000
284,101,FM,,Leslie Collase,unknown,Sedgwick Modular Residence II,,2018-01-03 00:00:00.000
285,102,100106L/981350,NULL,Steve Eggemeyer,Thompson Naylor Architects,Tipton Meeting HouseComplition Phase,NULL,2009-10-02 00:00:00.000
286,101,NULL,NULL,Ray Aronson,Lenvik And Minor,Sedgwick Reserve Observatory,NULL,2007-12-20 00:00:00.000
286,103,,NULL,Ray Aronson,Jmpe  Electrical,Sedgwick Reserve Electrical Infrastructure Improvement Project,NULL,2013-04-22 00:00:00.000
287,102,090165S,NULL,George Levinthal,Stork Wolf  And  Associates,Sedgwick Barn Restoration Project,NULL,2009-05-29 00:00:00.000
290,101,130347/399-58,NULL,Jennifer Hernandez,Blackbird Architects,Sedgwick Ranch House Record Documents,NULL,2013-03-07 00:00:00.000
290,102,981996,NULL,Ernest Knapp,MNS Engineers,Septic System at Sedgwick Garage#2,NULL,2018-08-01 00:00:00.000
300,104,070343S/076-82,NULL,George Levinthal,Ronald Sorgman,Building 300 Renovation,NULL,2007-01-12 00:00:00.000
300,105,070392S/987682,NULL,George Levinthal,Ronald Sorgman,Building 300 Renovation,NULL,2007-02-22 00:00:00.000
311,101,080419S/077-00,NULL,Deedee Ciancola,Penfield And Smith  Stantec,Kiosk  University Plaza,NULL,2008-02-07 00:00:00.000
317,101,987529,NULL,Aaron Douglas,Salvador Melendez,"Phase 2 Trailer For Fire  Police Station  Building
574",NULL,2002-07-19 00:00:00.000
322,106,020261B/103-55,NULL,Croft Yjader,John Maloney,College Of Creative Studies Trailer Electrical Service,NULL,2001-11-13 00:00:00.000
324,102,090262S/987719,NULL,Croft Yjader,"William Howard Wittausch ",ASBike Shop Replacement,NULL,2009-01-21 00:00:00.000
329,102,125-38,NULL,Celeste Manolas,Atlas Performance Industries,Ucsb Engineering Building 384,NULL,2004-07-12 00:00:00.000
343,101,080070B/076-89/987689,NULL,Croft Yjader,Penfield And Smith  Stantec,Harder Staduim Flammable Storage,NULL,2007-11-29 00:00:00.000
344,101,FM #210189L / 982060,,Jennifer Hernandez,JFAK,AS Bike Shop - New Bldg #344,,2021-03-25 00:00:00.000
346,102,030209/238-37,NULL,Deedee Ciancola,Salvador Melendez,Love Lab Relocation,NULL,2003-03-20 00:00:00.000
355,104,,NULL,David Inouye,Bense,,NULL,2006-02-01 00:00:00.000
355,105,1400478S,NULL,Jennifer Pierce,Kim True  True Nature,Ofcc Daycare Yard Renovation,NULL,2014-04-22 00:00:00.000
355,106,Unknown,,Perrin Pellegrin,Atlas Greenhouse,West Campus Greenhouse,NULL,2020-04-23 00:00:00.000
366,101,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-05-01 00:00:00.000
370,104,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-03-01 00:00:00.000
371,102,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-03-01 00:00:00.000
375,105,17603,NULL,Vince Stump,Vince Stumpo,Transportation Services Trailer,NULL,1990-03-20 00:00:00.000
375,106," 010597-S/100-41",NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-05-01 00:00:00.000
375,107,040223S/109-11,NULL,Robert  Muhr,Mec,"Compressed Natural Gas Fireline System
Transportation Services Bldg 375",NULL,2003-11-13 00:00:00.000
378,102,,NULL,Telli Foster,Salvador Melendez,Communicationtrl 378 Renovation,NULL,2005-08-05 00:00:00.000
383,101,170056S/987896,NULL,Croft Yjader,Richard Mckenzie,Psychology Grad Student Modulars Replacement Of Bld’G 429 And Remodel Bld’G 387,NULL,2016-11-21 00:00:00.000
383,102,TBD,NULL,Ernie Knapp,Bob Easton AIA Architect,Bldg 383 Relocation,NULL,2019-12-03 00:00:00.000
384,101,040439B/987589/211-81,NULL,Celeste Manolas,Salvador Melendez,Trailer 834 Replacement,NULL,2004-04-04 00:00:00.000
387,101,981160/717255,NULL,Aaron Douglas,"John D Kelly ",Modular Classrooms  Parking Lot No 3,NULL,1998-02-02 00:00:00.000
387,102,170056S/987896,NULL,Croft Yjader,,Psychology Graduate Student Modular To Replace Bldg 429 And Bldg 387 Remodel North Half,NULL,2016-10-26 00:00:00.000
388,105,NULL,NULL,Aaron Douglas,Ronald Sorgman,Foyer Between Bldgs 388  381 Parking Services,NULL,2002-11-21 00:00:00.000
388,106," 070203/B166-92",NULL,George Levinthal,Ronald Sorgman,Parking Services Front Deck Replacement,NULL,2006-10-12 00:00:00.000
406,117,120505B/150-65,NULL,Jennifer Hernandez,Phil Suding Landscape,El Centro Ada Ramp,NULL,2012-05-04 00:00:00.000
406,118,120493B/987787/077-87,NULL,Jennifer Hernandez,"Architects West Greg Rech ",El Centro Ada Restroom Remodel,NULL,2012-05-07 00:00:00.000
406,119,FM170365S/101-21,NULL,Ernie Knapp,Quincon Inc.,"El Centro Renovation - Foundation, Civil, Site Work",NULL,2018-06-01 00:00:00.000
406,120,FM170367S,NULL,Ernie Knapp,Quincon Inc.,El Centro Renovation General Contracting Work,NULL,2018-06-01 00:00:00.000
406,121,FM170368SR,NULL,Ernie Knapp,J&P Construction,El Centro Renovation - Furnish and Install Doors and Windows,NULL,2018-06-01 00:00:00.000
408,115," 050545S/987625",NULL,Croft Yjader,Salvador Melendez,Chamber Removal And Renovations,NULL,2005-02-01 00:00:00.000
429,201,170056S/987896,NULL,Croft Yjader,,Psychology Graduate Student Modular To Replace Bldg 429 And Bldg 387 Remodel North Half,NULL,2016-10-26 00:00:00.000
434,134,,NULL,Telli Foster,Rnt Architects,Art Surge Renovation,NULL,2007-12-04 00:00:00.000
437,113,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-03-01 00:00:00.000
439,109,010597-S/100-41,NULL,Emilio Casanueva,Xa Architects,Facilities Village Project,NULL,2001-03-01 00:00:00.000
477,115," 150457/119-72",NULL,Liana Khammash,Van Sande Structural Consultants," Interim Seismic Reinforcement For Building 477",NULL,2015-05-13 00:00:00.000
479,175,990454B/100-93,NULL,Robert  Muhr,Mec,Replacement Of Boilers Bldg 479,NULL,2000-03-29 00:00:00.000
479,178,100-37,NULL,Aaron Douglas,Edwards And Pitman,"Reroof Over Shower Rooms
Old Gym Bldg479",NULL,2001-01-01 00:00:00.000
479,179,030538S/103-78,NULL,Deedee Ciancola,L Avila,Move Dramatics Arts,NULL,2003-04-19 00:00:00.000
479,180,030575S/108-25,NULL,Deedee Ciancola,Xa,Art Studio Renovation,NULL,2003-05-09 00:00:00.000
479,181,,NULL,Deedee Ciancola,Alan Noelle  Eng,Dramatic Arts Fire Alarm System,NULL,2004-03-04 00:00:00.000
